Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
SW86,MX Switch,MX100,227.806249,-164.456999,0.0,top
SW87,MX Switch,MX100,208.756249,-164.456999,0.0,top
SW88,MX Switch,MX100,189.706249,-164.456999,0.0,top
SW89,MX Switch,MX100,170.656249,-164.456999,0.0,top
SW90,MX Switch,MX100,151.606249,-164.456999,0.0,top
SW91,MX Switch,MX275,115.887499,-164.456999,0.0,top
SW92,MX Switch,MX100,99.218749,-164.456999,0.0,top
SW93,MX Switch,MX100,56.356249,-164.456999,0.0,top
SW94,MX Switch,MX175,125.412499,-164.456999,0.0,top
SW95,MX Switch,MX125,363.537499,-164.456999,0.0,top
SW96,MX Switch,MX125,363.537499,-183.506999,0.0,top
SW97,MX Switch,MX125,339.724999,-183.506999,0.0,top
SW98,MX Switch,MX125,315.912499,-183.506999,0.0,top
SW99,MX Switch,MX625R,244.474999,-183.506999,0.0,top
SW100,MX Switch,MX125,173.037499,-183.506999,0.0,top
SW101,MX Switch,MX125,149.224999,-183.506999,0.0,top
SW102,MX Switch,MX125,125.412499,-183.506999,0.0,top
SW103,MX Switch,MX125,101.599999,-183.506999,0.0,top
SW104,MX Switch,MX100,75.406249,-183.506999,0.0,top
SW105,MX Switch,MX100,56.356249,-183.506999,0.0,top
SW106,MX Switch,MX100,37.306249,-183.506999,0.0,top
SW107,MX Switch,MX150,361.156249,-183.506999,0.0,top
SW108,MX Switch,MX100,337.343749,-183.506999,0.0,top
SW109,MX Switch,MX150,313.531249,-183.506999,0.0,top
SW110,MX Switch,MX700R,232.568749,-183.506999,0.0,top
SW111,MX Switch,MX150,151.606249,-183.506999,0.0,top
SW112,MX Switch,MX100,127.793749,-183.506999,0.0,top
SW113,MX Switch,MX150,103.981249,-183.506999,0.0,top
U1,TXS0101DBVR,SOT-23-6,46.006249,-92.344499,0.0,top
U2,USBLC6-2SC6,SOT-23-6,87.313247,-83.826853,270.0,bottom
U3,BL24C256A-SFRC,TSSOP-8_4.4x3mm_P0.65mm,54.974277,-148.7395,270.0,top
U4,STM32F411CEU6,STM_UFQFPN-48_LQFP-48-1EP_7x7mm_P0.5mm_HandSoldering_ThermalReliefs,71.324249,-149.489499,90.0,top
U5,MCP1700T-3302E/TT,SOT-23,70.518749,-92.294499,180.0,top
Y1,7325-0800A2010-00,Crystal_SMD_3225-4Pin_3.2x2.5mm,71.011749,-158.739499,180.0,top
